見る	みる	miru
学校	がっこう	gakkou
先生	せんせい	sennsei
入れ	いれ|はいれ	ire|haire
人気	にんき|ひとけ|じんき	ninnki|hitoke|jinnki
出し	だし|しゅっし|いだし	dashi|shusshi|idashi
大きな	おおきな	ookina
一つ	ひとつ	hitotsu
見え	みえ|まみえ	mie|mamie
大学	だいがく	daigaku
入り	いり|はいり	iri|hairi
子ども	こども	kodomo
入力	にゅうりょく	nyuuryoku
文字	もじ|もんじ	moji|monnji
出る	でる|いでる|いづる	deru|ideru|iduru
早く	はやく|ばやく	hayaku|bayaku
お気に入り	おきにいり	okiniiri
学生	がくせい	gakusei
生まれ	うまれ	umare
生き	いき|せいき	iki|seiki
見える	まみえる|みえる	mamieru|mieru
入る	いる|はいる|いれる	iru|hairu|ireru
人生	じんせい	jinnsei
口コミ	くちこみ	kuchikomi
本日	ほんじつ	honnjitsu
大人	おとな|たいじん|だいにん|うし	otona|taijinn|daininn|ushi
小さな	ちいさな	chiisana
上げ	あげ	age
本人	ほんにん	honnninn
天気	てんき	tennki
入れる	いれる|はいれる	ireru|haireru
大きい	おおきい	ookii
出す	だす|いだす	dasu|idasu
休み	やすみ	yasumi
先日	せんじつ	sennjitsu
立て	たて|だて	tate|date
女子	じょし|おなご	joshi|onago
空気	くうき	kuuki
女の子	おんなのこ	onnnanoko
小さい	ちいさい|こさい	chiisai|kosai
早い	はやい|ばやい	hayai|bayai
本文	ほんぶん|ほんもん	honnbunn|honnmonn
白い	しろい|じろい	shiroi|jiroi
見学	けんがく	kenngaku
正しい	ただしい|まさしい	tadashii|masashii
立ち	たち|だち	tachi|dachi
年金	ねんきん	nennkinn
生きる	いきる	ikiru
学ぶ	まなぶ|まねぶ	manabu|manebu
山口	やまぐち	yamaguchi
花火	はなび	hanabi
赤い	あかい	akai
中学	ちゅうがく	tyuugaku
文学	ぶんがく	bunngaku
大手	おおて|おおで	oote|oode
男子	だんし	dannshi
青年	せいねん	seinenn
休日	きゅうじつ	kyuujitsu
人口	じんこう	jinnkou
上手	うわて|かみて|じょうず|うま|じょうて	uwate|kamite|jouzu|uma|joute
赤ちゃん	あかちゃん	akatyann
男女	だんじょ|なんにょ|おとこおんな	dannjo|nannnyo|otokoonnna
入学	にゅうがく	nyuugaku
左右	さゆう	sayuu
入手	にゅうしゅ	nyuushu
下り	くだり|さがり|おり	kudari|sagari|ori
本気	ほんき|まじ	honnki|maji
山田	やまだ	yamada
山本	やまもと	yamamoto
上がり	あがり	agari
上げる	あげる	ageru
中小	ちゅうしょう	tyuushou
学び	まなび|まねび	manabi|manebi
上がる	あがる	agaru
立つ	たつ|だつ	tatsu|datsu
下げ	さげ	sage
見かけ	みかけ	mikake
入り口	いりくち|いりぐち|はいりぐち	irikuchi|iriguchi|hairiguchi
下車	げしゃ	gesha
一生	いっしょう|いっしょ	isshou|issho
お出かけ	おでかけ	odekake
青い	あおい	aoi
下手	したて|しもて|へた|げしゅ|べた|したで	shitate|shimote|heta|geshu|beta|shitade
正しく	ただしく|まさしく	tadashiku|masashiku
王子	おうじ	ouji
やる気	やるき	yaruki
出力	しゅつりょく	shutsuryoku
見せる	みせる	miseru
男の子	おとこのこ	otokonoko
空い	むなしい|くうい|あい|すい	munashii|kuui|ai|sui
土日	どにち	donichi
森林	しんりん	shinnrinn
町村	ちょうそん	tyousonn
右手	みぎて|めて	migite|mete
上下	じょうげ|がみしも|うえした|かみしも|じょうか	jouge|gamishimo|ueshita|kamishimo|jouka
カ月	かげつ	kagetsu
入口	いりぐち|いりくち	iriguchi|irikuchi
上り	あがり|のぼり	agari|nobori
生まれる	うまれる	umareru
赤字	あかじ	akaji
っ子	っこ	kko
学年	がくねん	gakunenn
出口	でぐち	deguchi
手入れ	ていれ	teire
左手	ひだりて|ゆんで	hidarite|yunnde
正月	しょうがつ	shougatsu
大いに	おおいに	ooini
生じる	しょうじる	shoujiru
花見	はなみ	hanami
小川	おがわ|こがわ	ogawa|kogawa
一見	いっけん|いちげん	ikkenn|ichigenn
立てる	たてる|だてる	tateru|dateru
見つける	みつける	mitsukeru
か月	かげつ	kagetsu
入金	にゅうきん	nyuukinn
先月	せんげつ	senngetsu
女王	じょおう|じょうおう	joou|jouou
見つかる	みつかる	mitsukaru
目立つ	めだつ	medatsu
見れる	みれる	mireru
見出し	みだし|みいだし	midashi|miidashi
青空	あおぞら	aozora
青山	あおやま|せいざん	aoyama|seizann
上田	じょうでん	joudenn
土木	どぼく	doboku
中山	なかやま	nakayama
上手い	うまい	umai
空き	あき|くうき|すき|むなしき	aki|kuuki|suki|munashiki
本音	ほんね	honnne
青木	あおき	aoki
山下	やました|さんか	yamashita|sannka
中日	ちゅうにち|なかび	tyuunichi|nakabi
下がる	さがる	sagaru
小学	しょうがく	shougaku
下る	くだる|おりる|さがる	kudaru|oriru|sagaru
学力	がくりょく	gakuryoku
田んぼ	たんぼ	tannbo
天下	てんか|あまくだ|でんか|てんげ	tennka|amakuda|dennka|tennge
年月	としつき|ねんげつ	toshitsuki|nenngetsu
川口	かわぐち	kawaguchi
天ぷら	てんぷら	tennpura
上る	のぼる|あがる|あげる	noboru|agaru|ageru
大した	たいした	taishita
一目	いちもく|ひとめ	ichimoku|hitome
水中	すいちゅう	suityuu
大山	おおやま|たいざん|たいさん|だいせん	ooyama|taizann|taisann|daisenn
気づき	きづき	kiduki
本名	ほんみょう	honnmyou
下ろし	おろし	oroshi
五月	ごがつ|さつき	gogatsu|satsuki
下さる	くださる	kudasaru
火山	かざん	kazann
空中	くうちゅう	kuutyuu
中田	ちゅうでん	tyuudenn
本田	ほんでん	honndenn
夕日	ゆうひ	yuuhi
小山	こやま	koyama
年中	ねんじゅう|ねんちゅう	nennjuu|nenntyuu
下がり	さがり	sagari
大名	だいみょう	daimyou
名人	めいじん	meijinn
本年	ほんねん	honnnenn
下げる	さげる	sageru
大気	たいき	taiki
下山	げざん|げさん	gezann|gesann
大雨	おおあめ	ooame
先ず	まず	mazu
気づく	きづく	kiduku
山中	さんちゅう|やまなか	sanntyuu|yamanaka
出せる	だせる	daseru
大字	おおあざ|だいじ	ooaza|daiji
気まま	きまま	kimama
手足	しゅそく|てあし	shusoku|teashi
出入り	でいり|ではいり	deiri|dehairi
白石	しろいし	shiroishi
七夕	たなばた|しちせき	tanabata|shichiseki
金子	きんす	kinnsu
上空	じょうくう	joukuu
中年	ちゅうねん	tyuunenn
一人ひとり	ひとりひとり	hitorihitori
気まぐれ	きまぐれ	kimagure
本校	ほんこう	honnkou
山手	やまて|やまのて	yamate|yamanote
空手	からて|そらで|くうしゅ	karate|sorade|kuushu
生ん	うん|なん	unn|nann
気力	きりょく	kiryoku
足し	たし	tashi
立ち上がり	たちあがり	tachiagari
目玉	めだま	medama
水田	すいでん|みずた	suidenn|mizuta
川上	かわかみ	kawakami
見本	みほん	mihonn
手のひら	てのひら	tenohira
本学	ほんがく	honngaku
玉子	たまご	tamago
水上	すいじょう|みなかみ	suijou|minakami
年上	としうえ	toshiue
花びら	はなびら	hanabira
日の出	ひので	hinode
先ほど	さきほど	sakihodo
学べる	まなべる	manaberu
小生	しょうせい	shousei
本土	ほんど	honndo
白人	はくじん	hakujinn
出土	しゅつど	shutsudo
休む	やすむ	yasumu
いち早く	いちはやく	ichihayaku
出生	しゅっしょう|しゅっせい	shusshou|shussei
大小	だいしょう	daishou
生かす	いかす	ikasu
空白	くうはく	kuuhaku
生む	うむ	umu
火力	かりょく	karyoku
町名	ちょうめい	tyoumei
石けん	せっけん|いしけん	sekkenn|ishikenn
大石	おおいし|だいせき	ooishi|daiseki
上人	しょうにん	shouninn
大川	おおかわ|だいせん	ookawa|daisenn
中立	ちゅうりつ	tyuuritsu
天文	てんもん	tennmonn
手づくり	てづくり	tedukuri
下し	おろし|くだし	oroshi|kudashi
下町	したまち	shitamachi
大王	だいおう|おおきみ	daiou|ookimi
天空	てんくう	tennkuu
玉ねぎ	たまねぎ	tamanegi
九月	くがつ|ながつき	kugatsu|nagatsuki
見どころ	みどころ	midokoro
年下	としした	toshishita
大木	たいぼく	taiboku
村人	むらびと	murabito
