綺麗	きれい|ぎれい	kirei|girei
同梱	どうこん	doukonn
彷彿	ほうふつ	houfutsu
勿論	もちろん	mochironn
贅沢	ぜいたく	zeitaku
麻痺	まひ	mahi
愕然	がくぜん	gakuzenn
梱包	こんぽう	konnpou
鍼灸	しんきゅう	shinnkyuu
些細	ささい	sasai
喧嘩	けんか|げんか	kennka|gennka
唖然	あぜん	azenn
呆然	ぼうぜん	bouzenn
蕎麦	そば|そばむぎ	soba|sobamugi
躊躇	ちゅうちょ	tyuutyo
漏洩	ろうえい|ろうせつ	rouei|rousetsu
抜擢	ばってき	batteki
流暢	りゅうちょう	ryuutyou
割烹	かっぽう	kappou
毅然	きぜん	kizenn
秘訣	ひけつ	hiketsu
蔓延	まんえん|はびこ	mannenn|habiko
混沌	こんとん	konntonn
餃子	ぎょうざ|ぎょーざ	gyouza|gyo-za
微塵	みじん	mijinn
醤油	しょうゆ|じょうゆ	shouyu|jouyu
対峙	たいじ	taiji
標榜	ひょうぼう	hyoubou
溜息	ためいき	tameiki
揶揄	やゆ	yayu
牽引	けんいん	kenninn
瑕疵	かし	kashi
惣菜	そうざい	souzai
驚愕	きょうがく	kyougaku
喧騒	けんそう	kennsou
震撼	しんかん	shinnkann
痔疾	じしつ	jishitsu
呆気	あっけ	akke
衣裳	いしょう	ishou
邁進	まいしん	maishinn
怪訝	けげん	kegenn
炸裂	さくれつ	sakuretsu
誹謗	ひぼう	hibou
洒落	しゃらく|しゃれ|じゃれ	sharaku|share|jare
渾身	こんしん	konnshinn
朦朧	もうろう	mourou
謳歌	おうか	ouka
薔薇	ばら|いばら|しょうび|そうび	bara|ibara|shoubi|soubi
編纂	へんさん	hennsann
淘汰	とうた	touta
按摩	あんま	annma
安堵	あんど	anndo
鞭撻	べんたつ	benntatsu
徘徊	はいかい	haikai
吾輩	わがはい	wagahai
鬱蒼	うっそう	ussou
髣髴	ほうふつ	houfutsu
灼眼	しゃくがん	shakugann
刺繍	ししゅう	shishuu
片鱗	へんりん	hennrinn
投函	とうかん	toukann
合祀	ごうし	goushi
烙印	らくいん	rakuinn
捏造	ねつぞう|でつぞう	netsuzou|detsuzou
壬申	じんしん	jinnshinn
