嬉しい	うれしい	ureshii
萌え	もえ	moe
醤油	しょうゆ|じょうゆ	shouyu|jouyu
殆ど	ほとんど	hotonndo
味噌	みそ	miso
倶楽部	くらぶ	kurabu
勿論	もちろん	mochironn
蕎麦	そば|そばむぎ	soba|sobamugi
揃え	そろえ|ぞろえ	soroe|zoroe
叩き	たたき|はたき|ばたき	tataki|hataki|bataki
云う	いう	iu
喧嘩	けんか|げんか	kennka|gennka
濡れ	ぬれ	nure
其の	その	sono
厨房	ちゅうぼう	chuubou
甲斐	かい|がい	kai|gai
溢れる	あふれる|こぼれる	afureru|koboreru
伊達	だて	date
馴染み	なじみ	najimi
八幡	はちまん	hachimann
叩く	たたく|はたく	tataku|hataku
晒し	さらし|ざらし	sarashi|zarashi
石鹸	せっけん	sekkenn
梱包	こんぽう	konnpou
遥か	はるか	haruka
繋がり	つながり	tsunagari
煽り	あおり|あうり	aori|auri
覗き	のぞき	nozoki
惚れ	ほれ|ぼれ	hore|bore
或いは	あるいわ	aruiwa
此処	ここ	koko
秘訣	ひけつ	hiketsu
貰い	もらい	morai
同梱	どうこん	doukonn
儲け	もうけ	mouke
只今	ただいま	tadaima
揃い	そろい|ぞろい	soroi|zoroi
繋がる	つながる	tsunagaru
麻雀	まーじゃん	ma-jann
海苔	のり	nori
口蹄	こうてい	koutei
獅子	しし|じし	shishi|jishi
品揃え	しなぞろえ	shinazoroe
口腔	こうくう|こうこう|くちむろ	koukuu|koukou|kuchimuro
賑やか	にぎやか	nigiyaka
復讐	ふくしゅう	fukushuu
貰う	もらう|もろう	morau|morou
刺繍	ししゅう	shishuu
菩薩	ぼさつ	bosatsu
呆れ	あきれ	akire
廻り	めぐり|まわり	meguri|mawari
天狗	てんぐ	tenngu
撫で	なで	nade
割烹	かっぽう	kappou
惣菜	そうざい	souzai
茶碗	ちゃわん|ぢゃわん	chawann|dyawann
歪み	いがみ|ひずみ|ゆがみ	igami|hizumi|yugami
稜線	りょうせん	ryousenn
茄子	なす|なすび	nasu|nasubi
界隈	かいわい	kaiwai
無垢	むく	muku
芭蕉	ばしょう	bashou
儲かる	もうかる	moukaru
貰える	もらえる	moraeru
賑わい	にぎわい	nigiwai
此の	この	kono
可憐	かれん	karenn
青龍	せいりゅう	seiryuu
吊り	つり|づり	tsuri|duri
噛み	かみ	kami
瑞穂	みずほ	mizuho
ご馳走	ごちそう	gochisou
神輿	みこし|しんよ	mikoshi|shinnyo
平坦	へいたん	heitann
溜め	ため|だめ	tame|dame
喋り	しゃべり	shaberi
牽引	けんいん	kenninn
萌える	もえる	moeru
蛋白	たんぱく	tannpaku
綴る	つづる	tsuduru
大晦日	おおみそか	oomisoka
些細	ささい	sasai
安堵	あんど	anndo
掴み	つかみ	tsukami
林檎	りんご	rinngo
