感じ	かんじ	kannji
商品	しょうひん	shouhinn
写真	しゃしん|じゃしん	shashinn|jashinn
問題	もんだい	monndai
世界	せかい	sekai
記事	きじ	kiji
問い合わせ	といあわせ	toiawase
仕事	しごと	shigoto
使用	しよう	shiyou
研究	けんきゅう	kennkyuu
時代	じだい	jidai
事業	じぎょう	jigyou
言葉	ことば	kotoba
活動	かつどう	katsudou
意味	いみ	imi
作品	さくひん	sakuhinn
受け	うけ	uke
場所	ばしょ	basho
教育	きょういく	kyouiku
部屋	へや|べや	heya|beya
全国	ぜんこく	zennkoku
向け	むけ	muke
予定	よてい	yotei
病院	びょういん	byouinn
部分	ぶぶん	bubunn
会員	かいいん	kaiinn
開発	かいはつ	kaihatsu
相談	そうだん	soudann
相手	あいて	aite
始め	はじめ	hajime
委員	いいん	iinn
全て	すべて	subete
意見	いけん	ikenn
旅行	りょこう	ryokou
気持ち	きもち	kimochi
悪い	わるい|わりい|わろい	warui|warii|waroi
一部	いちぶ	ichibu
注文	ちゅうもん|ちゅうぶん	chuumonn|chuubunn
家族	かぞく	kazoku
注意	ちゅうい	chuui
理由	りゆう	riyuu
指定	してい	shitei
期待	きたい	kitai
発表	はっぴょう	happyou
代表	だいひょう	daihyou
文化	ぶんか	bunnka
公開	こうかい	koukai
流れ	ながれ	nagare
登場	とうじょう	toujou
使い	つかい|つかわい|づかい	tsukai|tsukawai|dukai
安全	あんぜん	annzenn
年度	ねんど	nenndo
作業	さぎょう	sagyou
安心	あんしん	annshinn
自身	じしん	jishinn
取引	とりひき	torihiki
使う	つかう|つこう	tsukau|tsukou
開始	かいし	kaishi
自由	じゆう	jiyuu
全体	ぜんたい	zenntai
一度	ひとたび|いちど	hitotabi|ichido
勉強	べんきょう	bennkyou
決定	けってい	kettei
話題	わだい	wadai
時期	じき	jiki
期間	きかん	kikann
発生	はっせい	hassei
放送	ほうそう	housou
全く	まったく	mattaku
発売	はつばい	hatsubai
行動	こうどう	koudou
動画	どうが	douga
工事	こうじ	kouji
番号	ばんごう	banngou
持つ	もつ	motsu
中央	ちゅうおう	chuuou
練習	れんしゅう	rennshuu
食事	しょくじ	shokuji
第一	だいいち	daiichi
全部	ぜんぶ	zennbu
運動	うんどう	unndou
歯科	しか	shika
様子	ようす	yousu
道路	どうろ	douro
注目	ちゅうもく	chuumoku
発見	はっけん	hakkenn
今度	こんど	konndo
感想	かんそう	kannsou
家庭	かてい	katei
心配	しんぱい	shinnpai
有名	ゆうめい	yuumei
都市	とし	toshi
学習	がくしゅう	gakushuu
面白い	おもしろい	omoshiroi
動物	どうぶつ	doubutsu
住所	じゅうしょ	juusho
自動車	じどうしゃ	jidousha
事実	じじつ	jijitsu
方向	ほうこう	houkou
神社	じんじゃ	jinnja
地区	ちく	chiku
予想	よそう	yosou
決め	きめ|ぎめ	kime|gime
持ち	もち	mochi
画面	がめん	gamenn
動き	うごき	ugoki
落ち	おち	ochi
用意	ようい	youi
身体	しんたい|からだ	shinntai|karada
