紹介	しょうかい	shoukai
及び	および	oyobi
販売	はんばい	hannbai
投稿	とうこう	toukou
環境	かんきょう	kannkyou
詳細	しょうさい	shousai
違う	ちがう|たがう|ちごう|たごう	chigau|tagau|chigou|tagou
状況	じょうきょう	joukyou
変更	へんこう	hennkou
含む	ふくむ|ぐむ	fukumu|gumu
普通	ふつう	futsuu
詳しい	くわしい	kuwashii
一般	いっぱん	ippann
医療	いりょう	iryou
連絡	れんらく	rennraku
彼女	かのじょ	kanojo
店舗	てんぽ	tennpo
支援	しえん	shienn
治療	ちりょう	chiryou
皆さん	みなさん	minasann
違い	ちがい|たがい	chigai|tagai
描く	えがく|かく|がく	egaku|kaku|gaku
影響	えいきょう	eikyou
致す	いたす	itasu
応援	おうえん	ouenn
皆様	みなさま	minasama
与える	あたえる	ataeru
攻撃	こうげき	kougeki
結婚	けっこん	kekkonn
宿泊	しゅくはく	shukuhaku
比較	ひかく	hikaku
是非	ぜひ	zehi
押す	おす	osu
記憶	きおく	kioku
行為	こうい	koui
大丈夫	だいじょうぶ|だいじょぶ	daijoubu|daijobu
介護	かいご	kaigo
事項	じこう	jikou
特徴	とくちょう	tokutyou
被害	ひがい	higai
活躍	かつやく	katsuyaku
間違い	まちがい	machigai
迎える	むかえる	mukaeru
記載	きさい	kisai
項目	こうもく	koumoku
派遣	はけん	hakenn
疲れ	つかれ|づかれ|つかれれ	tsukare|dukare|tsukarere
彼ら	かれら	karera
含める	ふくめる	fukumeru
到着	とうちゃく	toutyaku
依頼	いらい	irai
離れる	はなれる|ばなれる	hanareru|banareru
書き込み	かきこみ	kakikomi
勧める	すすめる	susumeru
支払い	しはらい	shiharai
遅い	おそい	osoi
怖い	こわい	kowai
香り	かおり	kaori
距離	きょり	kyori
範囲	はんい	hanni
払う	はらう|ばらう|ぱらう|はろう|ばろう|ぱろう	harau|barau|parau|harou|barou|parou
繰り返す	くりかえす	kurikaesu
趣味	しゅみ	shumi
申し込み	もうしこみ	moushikomi
通販	つうはん	tsuuhann
年齢	ねんれい	nennrei
満載	まんさい	mannsai
更に	さらに	sarani
普段	ふだん	fudann
悩み	なやみ	nayami
指摘	してき	shiteki
取り扱い	とりあつかい	toriatsukai
