入る	いる|はいる|いれる	iru|hairu|ireru
見る	みる	miru
下さる	くださる	kudasaru
入れる	いれる|はいれる	ireru|haireru
出す	だす|いだす	dasu|idasu
大きい	おおきい	ookii
学校	がっこう	gakkou
先生	せんせい	sennsei
人気	にんき|ひとけ|じんき	ninnki|hitoke|jinnki
早い	はやい|ばやい	hayai|bayai
大きな	おおきな	ookina
一つ	ひとつ	hitotsu
見え	みえ|まみえ	mie|mamie
子ども	こども	kodomo
生きる	いきる	ikiru
入力	にゅうりょく	nyuuryoku
出る	でる|いでる|いづる	deru|ideru|iduru
お気に入り	おきにいり	okiniiri
日本人	にっぽんじん|にほんじん	nipponnjinn|nihonnjinn
学生	がくせい	gakusei
生まれ	うまれ	umare
見せる	みせる	miseru
見える	まみえる|みえる	mamieru|mieru
口コミ	くちこみ	kuchikomi
小さい	ちいさい|こさい	chiisai|kosai
本日	ほんじつ	honnjitsu
小さな	ちいさな	chiisana
上げ	あげ	age
見つける	みつける	mitsukeru
立つ	たつ|だつ	tatsu|datsu
上がる	あがる	agaru
小学校	しょうがっこう	shougakkou
本人	ほんにん	honnninn
天気	てんき	tennki
休み	やすみ	yasumi
学ぶ	まなぶ|まねぶ	manabu|manebu
見つかる	みつかる	mitsukaru
先日	せんじつ	sennjitsu
立て	たて|だて	tate|date
女子	じょし|おなご	joshi|onago
見れる	みれる	mireru
白い	しろい|じろい	shiroi|jiroi
空気	くうき	kuuki
気づく	きづく	kiduku
女の子	おんなのこ	onnnanoko
正しい	ただしい|まさしい	tadashii|masashii
本文	ほんぶん|ほんもん	honnbunn|honnmonn
赤い	あかい	akai
生じる	しょうじる	shoujiru
見学	けんがく	kenngaku
立ち	たち|だち	tachi|dachi
年金	ねんきん	nennkinn
二つ	ふたつ	futatsu
足る	たる	taru
上手い	うまい	umai
気に入る	きにいる	kiniiru
中学校	ちゅうがっこう	tyuugakkou
出かける	でかける	dekakeru
目立つ	めだつ	medatsu
一気に	いっきに	ikkini
小学生	しょうがくせい	shougakusei
青年	せいねん	seinenn
休日	きゅうじつ	kyuujitsu
人口	じんこう	jinnkou
赤ちゃん	あかちゃん	akatyann
男女	だんじょ|なんにょ|おとこおんな	dannjo|nannnyo|otokoonnna
入学	にゅうがく	nyuugaku
生かす	いかす	ikasu
入手	にゅうしゅ	nyuushu
下り	くだり|さがり|おり	kudari|sagari|ori
早め	はやめ	hayame
下がる	さがる	sagaru
本気	ほんき|まじ	honnki|maji
上げる	あげる	ageru
出せる	だせる	daseru
上がり	あがり	agari
青い	あおい	aoi
中小	ちゅうしょう	tyuushou
