風呂	ふろ|ぶろ	furo|buro
挨拶	あいさつ	aisatsu
凄い	すごい	sugoi
焼酎	しょうちゅう|じょうちゅう	shouchuu|jouchuu
旦那	だんな	dannna
貼り	はり|ばり	hari|bari
必須	ひっす|ひっしゅ	hissu|hisshu
狙い	ねらい	nerai
匂い	におい	nioi
諦め	あきらめ	akirame
この頃	このごろ	konogoro
椅子	いす	isu
完璧	かんぺき	kannpeki
稽古	けいこ|げいこ	keiko|geiko
憧れ	あこがれ|あくがれ	akogare|akugare
日頃	ひごろ	higoro
爽やか	さわやか	sawayaka
一旦	いったん	ittann
拉致	らち|らっち	rachi|racchi
狙う	ねらう|ねろう	nerau|nerou
僅か	わずか|はつか	wazuka|hatsuka
親戚	しんせき	shinnseki
痩せ	やせ	yase
隙間	すきま	sukima
破綻	はたん	hatann
歌舞伎	かぶき	kabuki
年頃	としごろ	toshigoro
妖怪	ようかい	youkai
貼る	はる|ばる	haru|baru
腫瘍	しゅよう	shuyou
貼り付け	はりつけ	haritsuke
曖昧	あいまい	aimai
所詮	しょせん	shosenn
蹴り	けり|げり	keri|geri
潰し	つぶし|つやし	tsubushi|tsuyashi
今頃	いまごろ	imagoro
嫉妬	しっと	shitto
羨ましい	うらやましい	urayamashii
洞窟	どうくつ	doukutsu
頂戴	ちょうだい	choudai
妖精	ようせい	yousei
玩具	がんぐ|おもちゃ	ganngu|omocha
三昧	さんまい|ざんまい	sannmai|zannmai
憂鬱	ゆううつ	yuuutsu
弥生	やよい	yayoi
日韓	にっかん	nikkann
爽快	そうかい	soukai
潰れ	つぶれ	tsubure
賭け	かけ|がけ	kake|gake
斬り	きり|ぎり	kiri|giri
呪い	のろい|まじない	noroi|majinai
貼付	ちょうふ|てんぷ	choufu|tennpu
僧侶	そうりょ	souryo
呪文	じゅもん	jumonn
腫れ	はれ	hare
暗闇	くらやみ	kurayami
藤本	とうほん	touhonn
尻尾	しっぽ	shippo
挫折	ざせつ	zasetsu
手頃	てごろ	tegoro
覚醒	かくせい	kakusei
斬新	ざんしん	zannshinn
腎臓	じんぞう	jinnzou
月頃	つきごろ	tsukigoro
つけ麺	つけめん	tsukemenn
山麓	さんろく	sannroku
真摯	しんし	shinnshi
汎用	はんよう	hannyou
毀損	きそん	kisonn
勾配	こうばい	koubai
見頃	みごろ	migoro
拭い	ふい|ぬぐい	fui|nugui
捉える	とらえる|つらまえる	toraeru|tsuramaeru
葛藤	かっとう|つづらふじ	kattou|tsudurafuji
初詣	はつもうで	hatsumoude
股間	こかん	kokann
近頃	ちかごろ	chikagoro
冥福	めいふく	meifuku
進捗	しんちょく	shinnchoku
刹那	せつな	setsuna
元旦	がんたん	ganntann
韓流	かんりゅう	kannryuu
拳銃	けんじゅう	kennjuu
旺盛	おうせい	ousei
潰す	つぶす|つやす	tsubusu|tsuyasu
堆肥	たいひ	taihi
閉塞	へいそく	heisoku
凄まじい	すさまじい	susamajii
語彙	ごい	goi
