自分	じぶん	jibunn
場合	ばあい	baai
思い	おもい	omoi
時間	じかん	jikann
今日	きょう|こんにち	kyou|konnnichi
思う	おもう	omou
考え	かんがえ	kanngae
会社	かいしゃ|がいしゃ	kaisha|gaisha
言う	いう|ゆう	iu|yuu
同じ	どうじ|おなじ|おんなじ	douji|onaji|onnnaji
多い	おおい	ooi
今回	こんかい	konnkai
多く	おおく	ooku
生活	せいかつ	seikatsu
出来	でき|しゅったい|しゅつらい	deki|shuttai|shutsurai
少し	すこし	sukoshi
社会	しゃかい	shakai
人間	にんげん|じんかん	ninngenn|jinnkann
行く	いく|ゆく	iku|yuku
電話	でんわ	dennwa
名前	なまえ	namae
一番	いちばん	ichibann
今年	こんねん|ことし	konnnenn|kotoshi
今日は	こんにちは	konnnichiha
高い	たかい|だかい	takai|dakai
中国	ちゅうこく	chuukoku
教え	おしえ	oshie
地図	ちず	chizu
行き	いき|ゆき	iki|yuki
日記	にっき	nikki
通り	とおり|どおり	toori|doori
新しい	あたらしい	atarashii
中心	ちゅうしん	chuushinn
近く	ちかく|じかく	chikaku|jikaku
明日	あす|あした|みょうにち	asu|ashita|myounichi
読む	よむ	yomu
音楽	おんがく	onngaku
大会	たいかい|だいえ	taikai|daie
計画	けいかく	keikaku
毎日	まいにち	mainichi
今後	こんご	konngo
行う	おこなう|おこのう	okonau|okonou
考える	かんがえる	kanngaeru
書く	かく	kaku
出来る	できる	dekiru
強い	しい|じい|つよい|づよい|こわい	shii|jii|tsuyoi|duyoi|kowai
高校	こうこう	koukou
お前	おまえ	omae
地方	ちほう|じかた	chihou|jikata
当時	とうじ	touji
大切	たいせつ	taisetsu
市場	いちば|しじょう	ichiba|shijou
作り	つくり|づくり	tsukuri|dukuri
公園	こうえん	kouenn
番組	ばんぐみ	banngumi
年間	ねんかん	nennkann
元気	げんき	gennki
楽しい	たのしい	tanoshii
来る	くる|きたる	kuru|kitaru
読み	よみ	yomi
週間	しゅうかん	shuukann
合わせ	あわせ	awase
海外	かいがい	kaigai
新聞	しんぶん	shinnbunn
行い	おこない	okonai
土地	とち	tochi
十分	じゅうぶん	juubunn
話し	はなし|ばなし	hanashi|banashi
少ない	すくない	sukunai
出会い	であい	deai
近い	ちかい	chikai
作る	つくる|づくる	tsukuru|dukuru
交通	こうつう	koutsuu
回答	かいとう	kaitou
科学	かがく	kagaku
教室	きょうしつ	kyoushitsu
国内	こくない	kokunai
会場	かいじょう	kaijou
地元	じもと	jimoto
一方	いっぽう|ひとかた	ippou|hitokata
当社	とうしゃ	tousha
午後	ごご	gogo
答え	こたえ	kotae
書き	かき|がき	kaki|gaki
社長	しゃちょう	shachou
先頭	せんとう	senntou
長い	ながい	nagai
中古	ちゅうこ|ちゅうぶる	chuuko|chuuburu
新た	あらた	arata
買い	かい|がい	kai|gai
活用	かつよう	katsuyou
上記	じょうき	jouki
気分	きぶん	kibunn
外国	がいこく|とつくに	gaikoku|totsukuni
下記	かき	kaki
聞き	きき|ぎき	kiki|giki
友人	ゆうじん	yuujinn
明らか	あきらか	akiraka
食べる	たべる	taberu
帰り	かえり|がえり	kaeri|gaeri
空間	くうかん	kuukann
分かり	わかり	wakari
少年	しょうねん	shounenn
自体	じたい	jitai
買う	かう|こう	kau|kou
電子	でんし	dennshi
計算	けいさん	keisann
工場	こうじょう|こうば	koujou|kouba
国家	こっか	kokka
電車	でんしゃ	dennsha
聞く	きく	kiku
多数	たすう	tasuu
止め	とめ|やめ|とどめ|どめ	tome|yame|todome|dome
午前	ごぜん	gozenn
市内	しない	shinai
自ら	じら|みずから	jira|mizukara
電気	でんき	dennki
分野	ぶんや	bunnya
組合	くみあい	kumiai
会長	かいちょう	kaichou
本当	ほんとう|ほんと	honntou|honnto
一切	いっさい	issai
知る	しる	shiru
当日	とうじつ	toujitsu
少女	しょうじょ|おとめ	shoujo|otome
時点	じてん	jitenn
今週	こんしゅう	konnshuu
日間	にっかん|にちかん|かかん|じつかん	nikkann|nichikann|kakann|jitsukann
正直	しょうじき	shoujiki
来年	らいねん	rainenn
毎年	まいとし|まいねん	maitoshi|mainenn
古い	ふるい|ふりい	furui|furii
歩き	あるき|ありき	aruki|ariki
切れ	きれ|ぎれ	kire|gire
何の	どの	dono
分かる	わかる	wakaru
後ろ	うしろ	ushiro
立場	たちば	tachiba
本来	ほんらい	honnrai
多分	たぶん	tabunn
楽しむ	たのしむ	tanoshimu
前回	ぜんかい	zennkai
半分	はんぶん	hannbunn
会話	かいわ	kaiwa
楽天	らくてん	rakutenn
作家	さっか	sakka
引き	ひき|びき	hiki|biki
用語	ようご	yougo
一言	いちげん|いちごん|ひとこと	ichigenn|ichigonn|hitokoto
一体	いったい	ittai
一時	いっとき|いちどき|いちじ|ひととき	ittoki|ichidoki|ichiji|hitotoki
万人	ばんにん|ばんじん|まんにん	bannninn|bannjinn|mannninn
語る	かたる	kataru
売り	うり	uri
前後	ぜんご	zenngo
後半	こうはん	kouhann
今月	こんげつ	konngetsu
楽しめる	たのしめる	tanoshimeru
記入	きにゅう	kinyuu
会計	かいけい	kaikei
お茶	おちゃ	ocha
市長	しちょう	shichou
歩く	あるく|ありく	aruku|ariku
当たり	あたり	atari
出場	しゅつじょう|でば	shutsujou|deba
売買	ばいばい	baibai
聞こえ	きこえ	kikoe
思い出	おもいで	omoide
走る	はしる|ばしる	hashiru|bashiru
数字	すうじ	suuji
言える	いえる|ゆえる	ieru|yueru
人数	にんずう|にんず|ひとかず	ninnzuu|ninnzu|hitokazu
当店	とうてん	toutenn
時計	とけい|どけい	tokei|dokei
夕方	ゆうがた	yuugata
広い	ひろい	hiroi
通知	つうち	tsuuchi
母親	ははおや	hahaoya
多少	たしょう	tashou
分け	わけ	wake
手作り	てづくり	tedukuri
当たり前	あたりまえ	atarimae
切り	きり|ぎり	kiri|giri
大分	だいぶ|だいぶん|おおいた	daibu|daibunn|ooita
広場	ひろば	hiroba
学会	がっかい	gakkai
遠く	とおく|どおく	tooku|dooku
楽し	たのし	tanoshi
国道	こくどう	kokudou
売れ	うれ	ure
弱い	よわい	yowai
走り	はしり|ばしり	hashiri|bashiri
原作	げんさく	gennsaku
帰る	かえる	kaeru
人形	にんぎょう|ひとがた	ninngyou|hitogata
心理	しんり	shinnri
外科	げか	geka
夏休み	なつやすみ	natsuyasumi
文書	ぶんしょ|もんじょ	bunnsho|monnjo
言語	げんご|ごんご	genngo|gonngo
国会	こっかい	kokkai
国立	こくりつ	kokuritsu
先週	せんしゅう	sennshuu
山形	やまがた|やまなり	yamagata|yamanari
東北	とうほく	touhoku
引用	いんよう	innyou
合う	あう|おう	au|ou
前日	まえび|ぜんじつ	maebi|zennjitsu
手紙	てがみ	tegami
親子	おやこ|しんし	oyako|shinnshi
組み合わせ	くみあわせ	kumiawase
合計	ごうけい	goukei
中止	ちゅうし	chuushi
作用	さよう	sayou
家電	かでん	kadenn
教会	きょうかい	kyoukai
見直し	みなおし	minaoshi
地下	ちか|じげ	chika|jige
朝食	ちょうしょく|あさげ	choushoku|asage
晴れ	はれ|ばれ	hare|bare
書店	しょてん	shotenn
父親	ちちおや	chichioya
本体	ほんたい	honntai
店長	てんちょう	tennchou
兄弟	きょうだい|けいてい	kyoudai|keitei
夕食	ゆうしょく|ゆうげ	yuushoku|yuuge
市町村	しちょうそん	shichousonn
学園	がくえん	gakuenn
話す	はなす	hanasu
思考	しこう	shikou
来週	らいしゅう	raishuu
同じく	おなじく	onajiku
絵本	えほん	ehonn
直後	ちょくご	chokugo
教える	おしえる	oshieru
店内	てんない	tennnai
一歩	いっぽ	ippo
明るい	あかるい	akarui
同一	どういつ	douitsu
回数	かいすう	kaisuu
手当	てあて	teate
明け	あけ	ake
前半	ぜんはん|ぜんぱん	zennhann|zennpann
市立	しりつ|いちりつ	shiritsu|ichiritsu
黒い	くろい|ぐろい	kuroi|guroi
手前	てまえ|てめい	temae|temei
本社	ほんしゃ	honnsha
生地	きじ|せいち	kiji|seichi
直前	ちょくぜん	chokuzenn
体力	たいりょく	tairyoku
台風	たいふう	taifuu
回り	まわり|めぐり	mawari|meguri
毎回	まいかい	maikai
図る	はかる	hakaru
会見	かいけん	kaikenn
今朝	けさ	kesa
中間	ちゅうかん|ちゅうげん	chuukann|chuugenn
来店	らいてん	raitenn
科目	かもく	kamoku
毎月	まいげつ|まいつき	maigetsu|maitsuki
東海	とうかい	toukai
室内	しつない	shitsunai
工作	こうさく	kousaku
走行	そうこう	soukou
当て	あて	ate
遠い	とおい|どおい	tooi|dooi
毎週	まいしゅう	maishuu
直し	なおし	naoshi
半年	はんねん|はんとし	hannnenn|hanntoshi
当たる	あたる	ataru
音声	おんせい|おんじょう	onnsei|onnjou
広がる	ひろがる	hirogaru
語り	かたり|がたり	katari|gatari
地上	ちじょう	chijou
細かい	こまかい	komakai
日帰り	ひがえり	higaeri
今夜	こんや	konnya
読書	どくしょ	dokusho
入門	にゅうもん	nyuumonn
昼食	ちゅうしょく|ちゅうじき|ひるげ	chuushoku|chuujiki|hiruge
知り合い	しりあい	shiriai
新作	しんさく	shinnsaku
新人	しんじん	shinnjinn
思える	おもえる	omoeru
近年	きんねん	kinnnenn
売上	うりあげ	uriage
回し	まわし	mawashi
人工	じんこう	jinnkou
大体	だいたい	daitai
同社	どうしゃ	dousha
食い	くい|ぐい	kui|gui
入場	にゅうじょう	nyuujou
地点	ちてん	chitenn
朝日	あさひ	asahi
何人	なにじん|なにびと|なんぴと|なんにん	nanijinn|nanibito|nannpito|nannninn
数学	すうがく	suugaku
帰国	きこく	kikoku
電池	でんち	dennchi
日曜	にちよう	nichiyou
高原	こうげん	kougenn
本店	ほんてん	honntenn
水道	すいどう|みずみち	suidou|mizumichi
姉妹	しまい	shimai
本書	ほんしょ	honnsho
通し	とおし|どおし	tooshi|dooshi
通じ	つうじ	tsuuji
切る	きる|ぎる	kiru|giru
合い	あい	ai
内科	ないか	naika
学科	がっか	gakka
同時	どうじ	douji
入会	にゅうかい|いりあい	nyuukai|iriai
強力	きょうりき|ごうりき|きょうりょく	kyouriki|gouriki|kyouryoku
地名	ちめい	chimei
行ける	いける|ゆける	ikeru|yukeru
電力	でんりょく	dennryoku
数多く	かずおおく	kazuooku
王国	おうこく	oukoku
外し	はずし	hazushi
昼間	ちゅうかん|ひるま|ぴるま	chuukann|hiruma|piruma
半角	はんかく	hannkaku
外交	がいこう	gaikou
水分	すいぶん	suibunn
古く	ふるく	furuku
色んな	いろんな	ironnna
