探す	さがす	sagasu
地域	ちいき	chiiki
確認	かくにん	kakuninn
一覧	いちらん	ichirann
子供	こども	kodomo
映画	えいが	eiga
提供	ていきょう	teikyou
頂く	いただく	itadaku
呼ぶ	よぶ	yobu
簡単	かんたん	kanntann
存在	そんざい	sonnzai
欲しい	ほしい	hoshii
住宅	じゅうたく	juutaku
賃貸	ちんたい	chinntai
経済	けいざい	keizai
専門	せんもん	sennmonn
忘れる	わすれる	wasureru
株式会社	かぶしきがいしゃ	kabushikigaisha
対策	たいさく	taisaku
ご覧	ごらん	gorann
届け	とどけ	todoke
担当	たんとう	tanntou
障害	しょうがい	shougai
検討	けんとう	kenntou
展開	てんかい	tennkai
認める	したためる|みとめる	shitatameru|mitomeru
難しい	むずかしい|むつかしい	muzukashii|mutsukashii
処理	しょり	shori
異なる	ことなる	kotonaru
自己	じこ	jiko
降る	くだる|ふる|ぶる|おりる	kudaru|furu|buru|oriru
誕生	たんじょう	tannjou
以降	いこう	ikou
著作	ちょさく	tyosaku
雑誌	ざっし	zasshi
若い	わかい|しい|わかやい	wakai|shii|wakayai
拡大	かくだい	kakudai
困る	こまる	komaru
保存	ほぞん	hozonn
暮らし	くらし|ぐらし	kurashi|gurashi
展示	てんじ	tennji
価値	かち	kachi
映像	えいぞう	eizou
負担	ふたん	futann
優しい	やさしい	yasashii
改善	かいぜん	kaizenn
素敵	すてき	suteki
厳しい	いかめしい|きびしい	ikameshii|kibishii
届く	とどく	todoku
講座	こうざ	kouza
郵便	ゆうびん	yuubinn
危険	きけん	kikenn
専用	せんよう	sennyou
演奏	えんそう	ennsou
政策	せいさく	seisaku
除く	のぞく	nozoku
済む	すむ	sumu
推進	すいしん	suishinn
痛い	いたい	itai
訪問	ほうもん	houmonn
方針	ほうしん	houshinn
看護	かんご	kanngo
認識	にんしき	ninnshiki
優勝	ゆうしょう	yuushou
警察	けいさつ	keisatsu
将来	しょうらい	shourai
訪れる	おとずれる	otozureru
規模	きぼ	kibo
装置	そうち	souchi
批判	ひはん	hihann
自宅	じたく	jitaku
沿う	そう	sou
議論	ぎろん	gironn
就職	しゅうしょく	shuushoku
政権	せいけん	seikenn
発展	はってん	hattenn
お腹	おなか	onaka
捨てる	すてる	suteru
勤務	きんむ	kinnmu
並ぶ	ならぶ	narabu
疑問	ぎもん	gimonn
段階	だんかい	dannkai
激しい	はげしい	hageshii
改革	かいかく	kaikaku
納得	なっとく	nattoku
値段	ねだん	nedann
操作	そうさ	sousa
認定	にんてい	ninntei
異常	いじょう	ijou
痛み	いたみ	itami
至る	いたる	itaru
処分	しょぶん	shobunn
頂ける	いただける	itadakeru
株式	かぶしき	kabushiki
申し訳	もうしわけ	moushiwake
著者	ちょしゃ	tyosha
役割	やくわり	yakuwari
感染	かんせん	kannsenn
権利	けんり	kennri
候補	こうほ	kouho
補助	ほじょ	hojo
収録	しゅうろく	shuuroku
死亡	しぼう	shibou
模様	もよう	moyou
座る	すわる	suwaru
承認	しょうにん	shouninn
秘密	ひみつ	himitsu
容疑	ようぎ	yougi
背景	はいけい	haikei
姿勢	しせい	shisei
否定	ひてい	hitei
証券	しょうけん	shoukenn
巻く	まく	maku
従来	じゅうらい	juurai
優れる	すぐれる	sugureru
手段	しゅだん	shudann
危機	きき	kiki
裁判	さいばん	saibann
視点	してん	shitenn
天皇	てんのう|すめらみこと	tennnou|sumeramikoto
装備	そうび	soubi
困難	こんなん	konnnann
我が家	わがや	wagaya
無視	むし	mushi
優先	ゆうせん	yuusenn
翌日	よくじつ	yokujitsu
看板	かんばん	kannbann
理論	りろん	rironn
収入	しゅうにゅう	shuunyuu
収集	しゅうしゅう	shuushuu
解除	かいじょ	kaijo
展望	てんぼう	tennbou
資源	しげん	shigenn
憲法	けんぽう	kennpou
宣言	せんげん	senngenn
貴方	あなた|きほう	anata|kihou
若者	わかもの	wakamono
閉じる	とじる	tojiru
単純	たんじゅん	tannjunn
階段	かいだん	kaidann
割引	わりびき|わりびけ	waribiki|waribike
通勤	つうきん	tsuukinn
宣伝	せんでん	senndenn
回収	かいしゅう	kaishuu
若干	じゃっかん|そこばく	jakkann|sokobaku
退職	たいしょく	taishoku
背中	せなか	senaka
何処	いずこ|どこ	izuko|doko
帰宅	きたく	kitaku
発揮	はっき	hakki
窓口	まどぐち	madoguchi
保障	ほしょう	hoshou
遺産	いさん	isann
我が	わが	waga
暖かい	あたたかい	atatakai
論文	ろんぶん	ronnbunn
筋肉	きんにく	kinnniku
亡くなる	なくなる	nakunaru
立派	りっぱ	rippa
供給	きょうきゅう	kyoukyuu
沿線	えんせん	ennsenn
反映	はんえい	hannei
並べる	ならべる	naraberu
収納	しゅうのう	shuunou
人権	じんけん	jinnkenn
重視	じゅうし	juushi
領域	りょういき	ryouiki
呼吸	こきゅう	kokyuu
数値	すうち	suuchi
吸収	きゅうしゅう	kyuushuu
時刻	じこく	jikoku
視線	しせん	shisenn
従業	じゅうぎょう	juugyou
内閣	ないかく	naikaku
歌詞	かし	kashi
決済	けっさい	kessai
吸う	すう	suu
結論	けつろん	ketsuronn
盛り上がる	もりあがる	moriagaru
ご存知	ごぞんじ	gozonnji
宅配	たくはい	takuhai
割合	わりあい	wariai
衣装	いしょう	ishou
革命	かくめい	kakumei
女優	じょゆう	joyuu
有難う	ありがとう|ありがたう	arigatou|arigatau
演劇	えんげき	enngeki
難い	かたい|がたい|むずかしい|にくい|にきい	katai|gatai|muzukashii|nikui|nikii
並び	ならび	narabi
株価	かぶか	kabuka
電源	でんげん	denngenn
認証	にんしょう	ninnshou
遺伝子	いでんし	idennshi
口座	こうざ	kouza
温暖	おんだん	onndann
俳優	はいゆう	haiyuu
承る	うけたまわる	uketamawaru
心臓	しんぞう	shinnzou
疑い	うたがい	utagai
対処	たいしょ	taisho
創業	そうぎょう	sougyou
混乱	こんらん	konnrann
洗う	あらう|あろう	arau|arou
指揮	しき	shiki
並びに	ならびに	narabini
興奮	こうふん	koufunn
探せる	さがせる	sagaseru
引退	いんたい|ひきのけ	inntai|hikinoke
認知	にんち	ninnchi
盛る	もる|さかる	moru|sakaru
株主	かぶぬし	kabunushi
裁判所	さいばんしょ|さいばんじょ	saibannsho|saibannjo
厳選	げんせん	gennsenn
分割	ぶんかつ	bunnkatsu
担う	になう|にのう	ninau|ninou
声優	せいゆう	seiyuu
訪ねる	たずねる	tazuneru
臨時	りんじ	rinnji
権力	けんりょく	kennryoku
散策	さんさく	sannsaku
就任	しゅうにん	shuuninn
冷蔵庫	れいぞうこ	reizouko
従う	したがう|したごう	shitagau|shitagou
幼児	ようじ|おさなご	youji|osanago
割れる	われる	wareru
収益	しゅうえき	shuueki
若しくは	もしくは|もしくわ	moshikuha|moshikuwa
家賃	やちん	yachinn
区域	くいき	kuiki
誤解	ごかい	gokai
若手	わかて	wakate
誤り	あやまり	ayamari
拝見	はいけん	haikenn
年収	ねんしゅう	nennshuu
同盟	どうめい	doumei
牛乳	ぎゅうにゅう	gyuunyuu
加盟	かめい	kamei
閉店	へいてん	heitenn
上映	じょうえい	jouei
危ない	あぶない	abunai
除去	じょきょ	jokyo
映る	うつる	utsuru
選手権	せんしゅけん	sennshukenn
一層	いっそう	issou
創る	つくる|づくる	tsukuru|dukuru
将軍	しょうぐん	shougunn
台詞	せりふ|だいし|ぜりふ	serifu|daishi|zerifu
疑う	うたがう|うたごう	utagau|utagou
系統	けいとう	keitou
暮らす	くらす	kurasu
開幕	かいまく	kaimaku
署名	しょめい	shomei
誠に	まことに	makotoni
政党	せいとう	seitou
意欲	いよく	iyoku
砂糖	さとう|ざとう	satou|zatou
郷土	きょうど	kyoudo
私立	しりつ|わたくしりつ	shiritsu|watakushiritsu
装着	そうちゃく	soutyaku
賃金	ちんぎん|ちんきん	chinnginn|chinnkinn
並み	なみ	nami
反射	はんしゃ	hannsha
割り	わり	wari
簡易	かんい	kanni
拡張	かくちょう	kakutyou
補正	ほせい	hosei
深刻	しんこく	shinnkoku
警備	けいび	keibi
届出	とどけいで|とどけで	todokeide|todokede
従事	じゅうじ	juuji
密着	みっちゃく	mittyaku
返済	へんさい	hennsai
出勤	しゅっきん	shukkinn
連盟	れんめい	rennmei
故障	こしょう	koshou
済ませる	すませる	sumaseru
反論	はんろん	hannronn
呼びかける	よびかける	yobikakeru
干す	ほす|ぼす	hosu|bosu
中傷	ちゅうしょう	tyuushou
故郷	こきょう|ふるさと	kokyou|furusato
探る	さぐる|さがせる	saguru|sagaseru
包装	ほうそう	housou
預かる	あずかる	azukaru
幼い	おさない|いとけない	osanai|itokenai
推定	すいてい	suitei
策定	さくてい	sakutei
頭痛	ずつう	zutsuu
諸国	しょこく	shokoku
権限	けんげん	kenngenn
染め	そめ|ぞめ|しめ	some|zome|shime
紅茶	こうちゃ	koutya
片手	かたて	katate
言い訳	いいわけ	iiwake
背後	はいご|うしろ	haigo|ushiro
体操	たいそう	taisou
非難	ひなん	hinann
県警	けんけい	kennkei
背負う	しょう|せおう	shou|seou
勤め	つとめ|づとめ	tsutome|dutome
推移	すいい|おしうつ	suii|oshiutsu
著しい	いちじるしい	ichijirushii
処置	しょち	shochi
承知	しょうち	shouchi
放映	ほうえい	houei
聖書	せいしょ	seisho
収める	おさめる	osameru
評論	ひょうろん	hyouronn
補給	ほきゅう	hokyuu
盛り上がり	もりあがり	moriagari
体系	たいけい	taikei
視野	しや	shiya
服装	ふくそう	fukusou
模型	もけい	mokei
割る	わる|われる	waru|wareru
預金	よきん	yokinn
在宅	ざいたく	zaitaku
派手	はで	hade
食欲	しょくよく	shokuyoku
著書	ちょしょ	tyosho
系列	けいれつ	keiretsu
刻む	きざむ	kizamu
感激	かんげき	kanngeki
盛ん	さかん|もん	sakann|monn
推測	すいそく	suisoku
収容	しゅうよう	shuuyou
有り難い	ありがたい	arigatai
俳句	はいく	haiku
縮小	しゅくしょう	shukushou
